month,aircraft_total,air_cargo_kt
1980-01,6501,
1980-02,6112,
1980-03,6391,
1980-04,6247,
1980-05,6301,
1980-06,6094,
1980-07,6279,
1980-08,6553,
1980-09,6245,
1980-10,6461,
1980-11,6326,
1980-12,6461,
1981-01,6294,
1981-02,5784,
1981-03,6258,
1981-04,5752,
1981-05,5872,
1981-06,5757,
1981-07,6009,
1981-08,6069,
1981-09,5849,
1981-10,5944,
1981-11,5755,
1981-12,6022,
1982-01,5958,
1982-02,5375,
1982-03,5921,
1982-04,5638,
1982-05,5590,
1982-06,5545,
1982-07,5738,
1982-08,5777,
1982-09,5641,
1982-10,5754,
1982-11,5457,
1982-12,5765,
1983-01,5671,
1983-02,5282,
1983-03,5649,
1983-04,5484,
1983-05,5685,
1983-06,5498,
1983-07,5658,
1983-08,5828,
1983-09,5674,
1983-10,5815,
1983-11,5556,
1983-12,5794,
1984-01,5746,
1984-02,5512,
1984-03,5795,
1984-04,5702,
1984-05,5932,
1984-06,5875,
1984-07,5998,
1984-08,6112,
1984-09,5902,
1984-10,5988,
1984-11,5925,
1984-12,6187,
1985-01,6108,
1985-02,5688,
1985-03,6181,
1985-04,6061,
1985-05,6157,
1985-06,6104,
1985-07,6147,
1985-08,6374,
1985-09,6139,
1985-10,6137,
1985-11,5932,
1985-12,6195,
1986-01,6127,
1986-02,5696,
1986-03,6212,
1986-04,6045,
1986-05,6268,
1986-06,6049,
1986-07,6247,
1986-08,6358,
1986-09,6003,
1986-10,6039,
1986-11,5863,
1986-12,6115,
1987-01,6161,
1987-02,5619,
1987-03,6340,
1987-04,6113,
1987-05,6422,
1987-06,6288,
1987-07,6508,
1987-08,6763,
1987-09,6320,
1987-10,6464,
1987-11,6392,
1987-12,6886,
1988-01,6729,
1988-02,6516,
1988-03,6727,
1988-04,6698,
1988-05,6975,
1988-06,6856,
1988-07,7147,
1988-08,7240,
1988-09,6792,
1988-10,7048,
1988-11,7069,
1988-12,7133,
1989-01,6952,
1989-02,6516,
1989-03,7145,
1989-04,7190,
1989-05,7365,
1989-06,7209,
1989-07,7342,
1989-08,7343,
1989-09,7260,
1989-10,7562,
1989-11,7593,
1989-12,7944,
1990-01,8070,
1990-02,7358,
1990-03,8130,
1990-04,7891,
1990-05,8250,
1990-06,7930,
1990-07,8123,
1990-08,8214,
1990-09,8009,
1990-10,8337,
1990-11,8433,
1990-12,8930,
1991-01,8615,
1991-02,7883,
1991-03,8600,
1991-04,8572,
1991-05,9015,
1991-06,8981,
1991-07,9198,
1991-08,9303,
1991-09,9033,
1991-10,9455,
1991-11,9733,
1991-12,10340,
1992-01,10196,
1992-02,9736,
1992-03,10093,
1992-04,10001,
1992-05,10475,
1992-06,10222,
1992-07,10703,
1992-08,10741,
1992-09,10415,
1992-10,10752,
1992-11,10804,
1992-12,11388,
1993-01,11322,
1993-02,10020,
1993-03,11192,
1993-04,11181,
1993-05,11544,
1993-06,11308,
1993-07,11681,
1993-08,11702,
1993-09,11235,
1993-10,11729,
1993-11,11592,
1993-12,12256,
1994-01,11985,
