month,scene,zone,metric,value,cloud
2019-01,S2A_48NUG_20190101_0_L2A,west_cargo,stock_bright,834.0,0.0
2019-01,S2A_48NUG_20190101_0_L2A,east_cargo,stock_bright,1606.0,0.0
2019-01,S2A_48NUG_20190101_0_L2A,pax_t123,stock_bright,1298.0,0.26136762127410873
2019-01,S2A_48NUG_20190101_0_L2A,pax_t4,stock_bright,1256.0,0.16734916734916735
2019-01,S2A_48NUG_20190101_0_L2A,airfield,stock_bright,1118.0,0.23810878355039924
2019-01,S2A_48NUG_20190131_0_L2A,west_cargo,stock_bright,8504.0,1.0
2019-01,S2A_48NUG_20190131_0_L2A,east_cargo,stock_bright,9104.0,1.0
2019-01,S2A_48NUG_20190131_0_L2A,pax_t123,stock_bright,3086.0,0.9033703487239431
2019-01,S2A_48NUG_20190131_0_L2A,pax_t4,stock_bright,3984.0,0.8476658476658476
2019-01,S2A_48NUG_20190131_0_L2A,airfield,stock_bright,4468.0,0.8557205843509357
2019-01,S2A_48NUG_20190131_0_L2A,west_cargo,pairdiff,,1.0
2019-01,S2A_48NUG_20190131_0_L2A,east_cargo,pairdiff,,1.0
2019-01,S2A_48NUG_20190131_0_L2A,pax_t123,pairdiff,,0.9033703487239431
2019-01,S2A_48NUG_20190131_0_L2A,pax_t4,pairdiff,,0.8476658476658476
2019-01,S2A_48NUG_20190131_0_L2A,airfield,pairdiff,,0.8557205843509357
2019-02,S2A_48NUG_20190210_0_L2A,west_cargo,stock_bright,4564.0,0.9576767676767677
2019-02,S2A_48NUG_20190210_0_L2A,east_cargo,stock_bright,2570.0,0.5521479858829257
2019-02,S2A_48NUG_20190210_0_L2A,pax_t123,stock_bright,5868.0,0.9729592830703292
2019-02,S2A_48NUG_20190210_0_L2A,pax_t4,stock_bright,2918.0,0.1485121485121485
2019-02,S2A_48NUG_20190210_0_L2A,airfield,stock_bright,3042.0,0.5243716601987118
2019-02,S2A_48NUG_20190220_0_L2A,west_cargo,stock_bright,1606.0,0.4264646464646465
2019-02,S2A_48NUG_20190220_0_L2A,east_cargo,stock_bright,2258.0,0.6860167944505294
2019-02,S2A_48NUG_20190220_0_L2A,pax_t123,stock_bright,2646.0,0.5937658289499318
2019-02,S2A_48NUG_20190220_0_L2A,pax_t4,stock_bright,2512.0,0.07316407316407317
2019-02,S2A_48NUG_20190220_0_L2A,airfield,stock_bright,2040.0,0.3782636081028913
2019-02,S2A_48NUG_20190220_0_L2A,west_cargo,pairdiff,,0.9576767676767677
2019-02,S2A_48NUG_20190220_0_L2A,east_cargo,pairdiff,,0.6860167944505294
2019-02,S2A_48NUG_20190220_0_L2A,pax_t123,pairdiff,,0.9729592830703292
2019-02,S2A_48NUG_20190220_0_L2A,pax_t4,pairdiff,4956987.0,0.1485121485121485
2019-02,S2A_48NUG_20190220_0_L2A,airfield,pairdiff,,0.5243716601987118
2019-03,S2A_48NUG_20190302_0_L2A,west_cargo,stock_bright,1600.0,0.19686868686868686
2019-03,S2A_48NUG_20190302_0_L2A,east_cargo,stock_bright,1892.0,0.2733357673116709
2019-03,S2A_48NUG_20190302_0_L2A,pax_t123,stock_bright,1742.0,0.23463861289694135
2019-03,S2A_48NUG_20190302_0_L2A,pax_t4,stock_bright,2684.0,0.02293202293202293
2019-03,S2A_48NUG_20190302_0_L2A,airfield,stock_bright,1512.0,0.08766279943921816
2019-06,S2A_48NUG_20190610_0_L2A,west_cargo,stock_bright,1540.0,0.24484848484848484
2019-06,S2A_48NUG_20190610_0_L2A,east_cargo,stock_bright,1614.0,0.383108190337106
2019-06,S2A_48NUG_20190610_0_L2A,pax_t123,stock_bright,1688.0,0.22840444184687317
2019-06,S2A_48NUG_20190610_0_L2A,pax_t4,stock_bright,1400.0,0.07844207844207844
2019-06,S2A_48NUG_20190610_0_L2A,airfield,stock_bright,1212.0,0.1381433244610602
2019-07,S2A_48NUG_20190720_0_L2A,west_cargo,stock_bright,1896.0,0.5754545454545454
2019-07,S2A_48NUG_20190720_0_L2A,east_cargo,stock_bright,2068.0,0.7887306802969454
2019-07,S2A_48NUG_20190720_0_L2A,pax_t123,stock_bright,2062.0,0.6016364699006429
2019-07,S2A_48NUG_20190720_0_L2A,pax_t4,stock_bright,1794.0,0.2833742833742834
2019-07,S2A_48NUG_20190720_0_L2A,airfield,stock_bright,1730.0,0.34985878862994496
2019-08,S2A_48NUG_20190819_0_L2A,west_cargo,stock_bright,1728.0,0.23353535353535354
2019-08,S2A_48NUG_20190819_0_L2A,east_cargo,stock_bright,1688.0,0.2485091882682244
2019-08,S2A_48NUG_20190819_0_L2A,pax_t123,stock_bright,1952.0,0.28123904149620105
2019-08,S2A_48NUG_20190819_0_L2A,pax_t4,stock_bright,1938.0,0.043498043498043495
2019-08,S2A_48NUG_20190819_0_L2A,airfield,stock_bright,1644.0,0.12141130097324096
2019-08,S2A_48NUG_20190819_1_L2A,west_cargo,stock_bright,1610.0,0.0
2019-08,S2A_48NUG_20190819_1_L2A,east_cargo,stock_bright,1584.0,0.029207740051113547
2019-08,S2A_48NUG_20190819_1_L2A,pax_t123,stock_bright,1818.0,0.050808494058055716
2019-08,S2A_48NUG_20190819_1_L2A,pax_t4,stock_bright,1870.0,0.0
2019-08,S2A_48NUG_20190819_1_L2A,airfield,stock_bright,1548.0,0.047006115773005265
2019-08,S2A_48NUG_20190819_1_L2A,west_cargo,pairdiff,1697988.0,0.23353535353535354
2019-08,S2A_48NUG_20190819_1_L2A,east_cargo,pairdiff,1248252.0,0.2485091882682244
2019-08,S2A_48NUG_20190819_1_L2A,pax_t123,pairdiff,4637154.0,0.28123904149620105
2019-08,S2A_48NUG_20190819_1_L2A,pax_t4,pairdiff,1961583.0,0.043498043498043495
2019-08,S2A_48NUG_20190819_1_L2A,airfield,pairdiff,28595316.0,0.12141130097324096
