month,airfield_pairdiff,airfield_stock_bright,east_cargo_pairdiff,east_cargo_stock_bright,pax_t123_pairdiff,pax_t123_stock_bright,pax_t4_pairdiff,pax_t4_stock_bright,west_cargo_pairdiff,west_cargo_stock_bright,aircraft_total,air_cargo_kt
2019-01,,1118.0,,1606.0,,1298.0,,1256.0,,834.0,32729,171304.0
2019-02,,1510.0,,1810.0,,,4956987.0,2764.0,,1518.0,29894,136504.0
2019-03,,1552.0,,1872.0,17363182.0,1742.0,,2647.0,2636798.0,1600.0,32371,184764.0
2019-04,98354762.0,1474.0,2085559.0,1786.0,5781973.0,1862.0,,1587.0,2119035.0,1510.0,31454,156480.0
2019-05,4123063.0,1469.0,,,637817.0,1723.0,248806.0,1701.0,197722.0,1603.0,31671,171756.0
2019-06,,1477.0,,2828.0,44640708.0,1688.0,,1579.0,,1540.0,31391,161880.0
2019-07,,,,1854.0,,,1463350.0,1556.0,,,32389,170226.0
2019-08,28595316.0,1596.0,1248252.0,1636.0,4637154.0,1885.0,1961583.0,1938.0,1697988.0,1669.0,32364,169032.0
2019-09,67107954.0,1786.0,1492843.0,1880.0,,2060.0,3914503.0,2406.0,1143495.0,1728.0,31179,170234.0
2019-10,35475852.0,1594.0,,1866.0,,1958.0,2179431.0,3518.0,2181780.0,1704.0,31958,169689.0
2019-11,28404580.0,1500.0,,1714.0,,1740.0,1836748.0,2680.0,1722189.0,1563.0,31598,177532.0
2019-12,25832232.0,1190.0,1316315.0,1592.0,4416517.0,1660.0,1638042.0,1730.0,1584075.0,1448.0,33344,174697.0
2020-01,47137818.0,1356.0,1687739.5,1588.0,5027606.0,1605.0,3961528.5,2132.0,1981271.0,1440.0,33435,156865.0
2020-02,45791380.0,1344.0,,1656.0,,1704.0,4756969.5,2406.0,2087764.0,1628.0,26231,146828.0
2020-03,,1426.0,,1736.0,,1776.0,,2710.0,,1578.0,16223,149444.0
2020-04,161207328.0,1424.0,5004195.0,1851.0,,2168.0,4153048.0,2504.0,,1581.0,3865,95838.0
2020-05,48035248.0,1126.0,,1529.0,,1724.0,,1677.0,,1536.5,4472,103122.0
2020-08,,,,980.0,,2008.0,,,,1704.0,5562,120115.0
2020-09,,,,2034.0,,,,2075.0,,,5623,124524.0
2020-10,,1432.0,,1733.0,,1940.0,,1824.0,,,5890,129083.0
2020-11,28803536.0,1107.0,,1538.0,,1698.0,,1892.0,,1506.0,6572,140030.0
2020-12,,1410.0,,,,,,,1763477.0,1341.0,7525,147676.0
2021-01,,,,1776.0,,,,2260.0,,1835.0,7495,145957.0
