month,all_tracks_stock,all_tracks_compact,all_tracks_raw_stock,all_tracks_raw_compact,all_tracks_n_scenes,all_tracks_coverage,stock,compact,raw_stock,raw_compact,n_scenes,coverage,movement,n_pairs,pair_coverage,movement_A-171-ASCENDING,movement_A-18-DESCENDING,movement_A-98-ASCENDING,movement_D-171-ASCENDING,movement_D-18-DESCENDING,movement_D-99-ASCENDING,eopl,bunker,container,arrivals
2019-05-01,,,,,,,,,,,,,,,,,,,,,,75.0,4006.47,3137.76,11697.0
2019-06-01,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,,,,,,,,,,,,,,,,,,,,,,79.0,3925.01,2806.72,6582.0
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,,,,,,,,,,,,,,,,,,,,,,68.0,4168.91,3174.7,6958.0
2020-09-01,,,,,,,,,,,,,,,,,,,,,,78.5,4217.57,3207.67,7255.0
2020-10-01,,,,,,,,,,,,,,,,,,,,,,73.0,4152.360000000001,3238.69,7502.0
2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,92.5,4503.0,3156.02,7641.0
